uf;cod;municipio;qtd_2004;vlr_2004;qtd_2005;vlr_2005;qtd_2006;vlr_2006;qtd_2007;vlr_2007;qtd_2008;vlr_2008;qtd_2009;vlr_2009;qtd_2010;vlr_2010
GO;520005;ABADIA DE GOIÁS;182;84844;194;116714;283;134127.00;269;154206;300;189478.00;410;255127.00;464;375366.00
MG;310010;ABADIA DOS DOURADOS;454;175967;563;316439;513;313365.00;518;287170;519;358632.00;611;452660.00;587;523033.00
GO;520010;ABADIÂNIA;633;408591;657;461520;897;539585.00;884;576546;838;698168.00;837;699459.00;781;721020.00
MG;310020;ABAETÉ;1260;373919;1711;813719;1735;846530.00;1627;846975;1285;874956.00;1512;1004078.00;1514;1131824.00
PA;150010;ABAETETUBA;7503;6513626;10220;7786402;11876;10110773.00;12601;11970055;12828;14721109.00;15168;17224576.00;16919;22021159.00
CE;230010;ABAIARA;1004;753247;1184;886645;1429;1102299.00;1362;1240912;1281;1378754.00;1600;1600969.00;1659;1877111.00
BA;290010;ABAÍRA;925;674927;1160;820292;1317;1003064.00;1270;1082172;1231;1216746.00;1080;1188804.00;1217;1347610.00
BA;290020;ABARÉ;1541;1019007;1623;1372739;2034;1639087.00;2079;1960403;1997;2266165.00;2449;2657323.00;2810;3526164.00
PR;410010;ABATIÁ;551;229316;690;457966;739;469309.00;719;562182;685;658707.00;678;725723.00;741;852814.00
SC;420005;ABDON BATISTA;80;22354;98;67326;146;102040.00;177;130342;193;175954.00;165;186418.00;166;187083.00
SC;420010;ABELARDO LUZ;617;283993;1080;646330;1064;844624.00;1163;967486;1035;1040890.00;1220;1200523.00;1282;1490942.00
PA;150013;ABEL FIGUEIREDO;324;282840;473;321092;581;453363.00;594;536668;596;628806.00;644;732719.00;737;923074.00
MG;310030;ABRE CAMPO;639;312626;1065;597025;1251;915989.00;1181;1037683;1067;1136857.00;1163;1114874.00;1259;1338964.00
PE;260005;ABREU E LIMA;4790;3208921;4876;3945695;9388;4728922.00;9333;7897010;8567;9094460.00;12260;11061262.00;11583;13443447.00
TO;170025;ABREULÂNDIA;90;47241;93;63757;225;118245.00;265;166790;263;230740.00;337;305088.00;341;391289.00
MG;310040;ACAIACA;234;61558;403;217823;461;310987.00;434;357277;340;378058.00;378;376420.00;414;425941.00
MA;210005;AÇAILÂNDIA;4879;2713518;5581;4377598;8527;5714676.00;8747;6969251;9159;8575738.00;12746;12206180.00;13121;15255944.00
BA;290030;ACAJUTIBA;454;364995;900;527051;1951;1507108.00;1958;1933209;1926;2214840.00;1923;2336174.00;2009;2626098.00
PA;150020;ACARÁ;1732;1402633;1772;1469978;1838;1494194.00;4459;3665715;5175;5410752.00;5396;6583796.00;5450;7267207.00
